,brand_id,campaign_name,domains,categories,domain
124,171,Mir Turbaz,"[""mirturbaz.ru"",""kurortix.ru""]",Hotels & Accommodations,mirturbaz
125,102,Drimsim,"[""drimsim.com""]",Other,drimsim
126,126,Vrbo,"[""vrbo.com""]",Hotels & Accommodations,vrbo
127,99,Sutochno.ru,"[""sutochno.ru""]",Hotels & Accommodations,sutochno
128,26,Level.travel,"[""level.travel""]","Package Tours , Hotels & Accommodations",level
129,145,Vrbo,"[""www.vrbo.com/en-gb/""]",Hotels & Accommodations,vrbo
130,151,Aviasales for Business,"[""b2b.aviasales.ru""]",Flights,b2b
131,22,intui.travel,"[""intui.travel""]",Transfers & Airport Services,intui
132,49,Sravni.ru,"[""sravni.ru""]",Insurance,sravni
133,158,loveholidays,"[""loveholidays.com""]","Package Tours , Hotels & Accommodations",loveholidays
134,97,Flixbus RU / CIS,"[""flixbus.ru""]",Bus transportation,flixbus
135,45,Tutu.ru,"[""tutu.ru"",""tutu.travel""]","Trains & Buses, Flights",tutu
